id,key,value,type
28529695,lanes,3,regular
28529695,oneway,yes,regular
28529695,source,satellite,regular
28529695,highway,primary,regular
28529695,surface,asphalt,regular
28529706,lanes,2,regular
28529706,oneway,yes,regular
28529706,source,satellite,regular
28529706,highway,secondary,regular
28529723,ref,X001,regular
28529723,source,satellite; GPS,regular
28529723,highway,primary,regular
28529728,lanes,3,regular
28529728,oneway,yes,regular
28529728,source,satellite,regular
28529728,highway,secondary,regular
28529736,oneway,yes,regular
28529736,source,satellite,regular
28529736,highway,secondary,regular
28529737,name,古驿道,regular
28529737,lanes,2,regular
28529737,oneway,no,regular
28529737,source,satellite,regular
28529737,highway,tertiary,regular
28529739,source,satellite,regular
28529739,highway,tertiary,regular
28529773,source,satellite,regular
28529773,highway,unclassified,regular
28529790,ref,S101,regular
28529790,source,satellite,regular
28529790,highway,primary,regular
28529831,oneway,yes,regular
28529831,source,satellite,regular
28529831,highway,trunk_link,regular
28529886,name,观湖路,regular
28529886,lanes,2,regular
28529886,oneway,yes,regular
28529886,highway,tertiary,regular
28529886,zh,观湖路,name
28529886,zh_pinyin,Guanhu Lu,name
28529906,name,车城东路,regular
28529906,lanes,2,regular
28529906,oneway,yes,regular
28529906,source,satellite,regular
28529906,highway,secondary,regular
28529906,zh,车城东路,name
28529906,zh_pinyin,CheChengDongLu,name
28529908,name,万家湖路,regular
28529908,lanes,2,regular
28529908,oneway,yes,regular
28529908,highway,secondary,regular
28529908,en,WanJiaHu Road,name
28529908,zh,万家湖路,name
28529908,zh_pinyin,WanJiaHuLu,name
28529914,name,沌阳大道,regular
28529914,lanes,2,regular
28529914,oneway,yes,regular
28529914,highway,secondary,regular
28529914,en,Zhuanyang Avenue,name
28529914,zh,沌阳大道,name
28529914,zh_pinyin,Zhuanyang Dadao,name
28833560,name,京汉大道,regular
28833560,oneway,yes,regular
28833560,highway,secondary,regular
28833560,zh_pinyin,Jing han road,name
28835067,name,龟山公园,regular
28835067,leisure,park,regular
28835148,name,和平大道,regular
28835148,lanes,3,regular
28835148,oneway,yes,regular
28835148,highway,primary,regular
28842841,name,大智路,regular
28842841,oneway,yes,regular
28842841,highway,tertiary,regular
28842842,name,大智路,regular
28842842,highway,pedestrian,regular
28842846,name,汉口江滩公园,regular
28842846,leisure,park,regular
28842930,oneway,yes,regular
28842930,highway,primary_link,regular
28843657,name,江城大道,regular
28843657,oneway,yes,regular
28843657,highway,primary,regular
28848153,oneway,yes,regular
28848153,highway,primary,regular
28848203,lanes,4,regular
28848203,layer,2,regular
28848203,bridge,yes,regular
28848203,oneway,yes,regular
28848203,highway,trunk,regular
28849929,name,大东门立交,regular
28873638,lit,yes,regular
28873638,name,香港路,regular
28873638,oneway,yes,regular
28873638,highway,primary,regular
28873638,zh,香港路,name
28873691,name,解放公园路,regular
28873691,highway,secondary,regular
28873691,en,Jie Fang Gong Yuan Road,name
28873691,zh,解放公园路,name
28874337,name,拦江路,regular
28874337,oneway,yes,regular
28874337,highway,primary,regular
28907281,lit,yes,regular
28907281,name,鹦鹉大道,regular
28907281,oneway,yes,regular
28907281,highway,secondary,regular
28907308,name,长丰大道,regular
28907308,lanes,2,regular
28907308,oneway,yes,regular
28907308,highway,primary,regular
28907665,name,玫瑰街,regular
28907665,highway,tertiary,regular
28907680,name,芳草路,regular
28907680,lanes,4,regular
28907680,oneway,no,regular
28907680,highway,secondary,regular
28908192,name,龟山南路,regular
28908192,lanes,3,regular
28908192,layer,2,regular
28908192,bridge,yes,regular
28908192,oneway,yes,regular
28908192,highway,trunk,regular
28908236,lit,yes,regular
28908236,name,首义路,regular
28908236,oneway,no,regular
28908236,highway,secondary,regular
28908295,name,解放路,regular
28908295,highway,tertiary,regular
28908390,lit,yes,regular
28908390,name,文安路,regular
28908390,lanes,2,regular
28908390,oneway,yes,regular
28908390,source,Yahoo hires,regular
28908390,highway,secondary,regular
29027962,name,金桥大道,regular
29027962,lanes,3,regular
29027962,oneway,yes,regular
29027962,highway,primary,regular
29028027,name,黄孝河路,regular
29028027,highway,secondary,regular
29028027,en,Huang Xiao He Rd,name
29028027,zh,黄孝河路,name
29028128,name,北湖西路,regular
29028128,highway,tertiary,regular
29028356,ref,S8,regular
29028356,name,关豹高速,regular
29028356,lanes,2,regular
29028356,oneway,yes,regular
29028356,source,GPS,regular
29028356,highway,motorway,regular
29028356,en,Huanghuang Expressway,name
29387208,gauge,1435,regular
29387208,usage,main,regular
29387208,railway,rail,regular
29387208,voltage,25000,regular
29387208,frequency,50,regular
29387208,electrified,contact_line,regular
29387209,gauge,1435,regular
29387209,layer,1,regular
29387209,usage,main,regular
29387209,bridge,yes,regular
29387209,railway,rail,regular
29387209,voltage,25000,regular
29387209,frequency,50,regular
29387209,electrified,contact_line,regular
29466802,source,Aerial Yahoo,regular
33677825,oneway,yes,regular
33677825,highway,motorway_link,regular
33677827,ref,G42,regular
33677827,lanes,2,regular
33677827,oneway,yes,regular
33677827,highway,motorway,regular
33677829,ref,G42 G70 G4201,regular
33677829,lanes,2,regular
33677829,oneway,yes,regular
33677829,highway,motorway,regular
33677833,lanes,2,regular
33677833,oneway,no,regular
33677833,highway,secondary,regular
33677931,natural,water,regular
33677931,waterway,riverbank,regular
33677933,natural,water,regular
33677933,waterway,riverbank,regular
33677937,layer,1,regular
33677937,bridge,yes,regular
33677937,oneway,yes,regular
33677937,highway,motorway,regular
33677938,lanes,3,regular
33677938,oneway,yes,regular
33677938,highway,motorway,regular
33677939,gauge,1435,regular
33677939,usage,main,regular
33677939,railway,rail,regular
33677939,voltage,25000,regular
33677939,frequency,50,regular
33677939,electrified,contact_line,regular
33677969,ref,G42 G70 G4201,regular
33677969,lanes,2,regular
33677969,oneway,yes,regular
33677969,highway,motorway,regular
33677970,ref,G42 G70 G4201,regular
33677970,layer,1,regular
33677970,bridge,yes,regular
33677970,oneway,yes,regular
33677970,highway,motorway,regular
33677971,ref,G42 G70 G4201,regular
33677971,layer,1,regular
33677971,bridge,yes,regular
33677971,oneway,yes,regular
33677971,highway,motorway,regular
33677973,ref,G42 G70 G4201,regular
33677973,lanes,2,regular
33677973,oneway,yes,regular
33677973,highway,motorway,regular
33678037,name,三环线,regular
33678037,lanes,3,regular
33678037,layer,1,regular
33678037,bridge,yes,regular
33678037,oneway,yes,regular
33678037,highway,motorway,regular
33678040,name,三环线,regular
33678040,lanes,3,regular
33678040,layer,1,regular
33678040,bridge,yes,regular
33678040,oneway,yes,regular
33678040,highway,motorway,regular
33678271,name,李纸路,regular
33678271,source,satellite,regular
33678271,highway,tertiary,regular
33678277,ref,G4 G50 G4201,regular
33678277,name,京珠高速,regular
33678277,lanes,4,regular
33678277,oneway,yes,regular
33678277,source,GPS;satellite,regular
33678277,highway,motorway,regular
33678277,int_ref,AH1,regular
33678277,en,Jingzhu Expressway,name
33678351,name,机场高速,regular
33678351,oneway,yes,regular
33678351,highway,trunk,regular
33678406,source,Yahoo hires,regular
33678410,highway,residential,regular
33678413,layer,2,regular
33678413,bridge,yes,regular
33678413,oneway,yes,regular
33678413,highway,trunk_link,regular
33678419,oneway,yes,regular
33678419,highway,trunk_link,regular
33678430,layer,2,regular
33678430,bridge,yes,regular
33678430,oneway,yes,regular
33678430,highway,trunk_link,regular
33678432,oneway,yes,regular
33678432,highway,trunk_link,regular
33678450,gauge,1435,regular
33678450,railway,rail,regular
33678450,service,yard,regular
33678450,voltage,25000,regular
33678450,frequency,50,regular
33678450,electrified,contact_line,regular
33678453,gauge,1435,regular
33678453,usage,main,regular
33678453,bridge,yes,regular
33678453,railway,rail,regular
33678453,voltage,25000,regular
33678453,frequency,50,regular
33678453,highspeed,yes,regular
33678453,electrified,contact_line,regular
33678453,traffic_mode,passenger,railway
33678455,gauge,1435,regular
33678455,railway,rail,regular
33678455,service,yard,regular
33678455,voltage,25000,regular
33678455,frequency,50,regular
33678455,electrified,contact_line,regular
33678462,natural,water,regular
33678586,ref,G70,regular
33678586,name,岱黄高速,regular
33678586,lanes,2,regular
33678586,oneway,yes,regular
33678586,highway,motorway,regular
33678603,oneway,yes,regular
33678603,highway,motorway,regular
33678610,layer,1,regular
33678610,bridge,yes,regular
33678610,oneway,yes,regular
33678610,highway,motorway,regular
33678623,natural,water,regular
33678623,waterway,riverbank,regular
33678668,natural,water,regular
33678668,waterway,riverbank,regular
33678674,boat,no,regular
33678674,waterway,river,regular
33678680,boat,no,regular
33678680,waterway,river,regular
33679415,highway,secondary,regular
33679427,source,Yahoo hires,regular
33679427,highway,secondary,regular
33679441,lanes,3,regular
33679441,layer,2,regular
33679441,bridge,yes,regular
33679441,oneway,yes,regular
33679441,highway,motorway,regular
33679442,oneway,yes,regular
33679442,highway,motorway,regular
